feature,importance
f8,1043
f9,656
f2,586
f5,204
f0,146
f7,142
f1794,84
f3,74
f1,54
f4,43
f10,29
f6,23
f23222,16
f23109,15
f23191,15
f23161,14
f90,11
f23190,11
f23231,10
f16219,10
f23132,10
f23110,9
f23225,9
f19419,9
f23041,9
f23114,9
f23229,8
f11,8
f23183,7
f23198,6
f3983,6
f9063,5
f9095,5
f23163,5
f21775,5
f23235,4
f93,4
f23044,4
f22960,3
f23224,3
f1645,3
f23160,3
f23148,2
f23157,2
f23108,2
f23180,2
f95,2
f23217,2
f23194,2
f9076,2
f9046,2
f1564,2
f23143,2
f16827,1
f9017,1
f23193,1
f9124,1
f23215,1
f23233,1
f9064,1
f1952,1
f23101,1
f23060,1
f23046,1
f23042,1
f23196,1
f51,0
f52,0
f53,0
f54,0
f55,0
f56,0
f57,0
f58,0
f59,0
f60,0
f61,0
f62,0
f63,0
f64,0
f65,0
f66,0
f67,0
f68,0
f69,0
f70,0
f71,0
f72,0
f73,0
f74,0
f75,0
f76,0
f77,0
f78,0
f79,0
f80,0
f81,0
f82,0
f83,0
f84,0
f85,0
f86,0
f87,0
f88,0
f89,0
f91,0
f92,0
f94,0
f96,0
f97,0
f98,0
f99,0
f100,0
f101,0
f102,0
f103,0
f104,0
f105,0
f106,0
f107,0
f108,0
f109,0
f110,0
f111,0
f112,0
f113,0
f114,0
f115,0
f116,0
f117,0
f118,0
f119,0
f120,0
f121,0
f122,0
f123,0
f124,0
f125,0
f126,0
f127,0
f128,0
f129,0
f130,0
f131,0
f132,0
f133,0
f134,0
f135,0
f136,0
f137,0
f138,0
f139,0
f140,0
f141,0
f142,0
f143,0
f144,0
f145,0
f146,0
f147,0
f148,0
f149,0
f150,0
f151,0
f152,0
f153,0
f154,0
f155,0
f156,0
f157,0
f158,0
f159,0
f160,0
f161,0
f162,0
f163,0
f164,0
f165,0
f166,0
f167,0
f168,0
f169,0
f170,0
f171,0
f172,0
f173,0
f174,0
f175,0
f176,0
f177,0
f178,0
f179,0
f180,0
f181,0
f182,0
f183,0
f184,0
f185,0
f186,0
f187,0
f188,0
f189,0
f190,0
f191,0
f192,0
f193,0
f194,0
f195,0
f196,0
f197,0
f198,0
f199,0
f200,0
f201,0
f202,0
f203,0
f204,0
f205,0
f206,0
f207,0
f208,0
f209,0
f210,0
f211,0
f212,0
f213,0
f214,0
f215,0
f216,0
f217,0
f218,0
f219,0
f220,0
f221,0
f222,0
f223,0
f224,0
f225,0
f226,0
f227,0
f228,0
f229,0
f230,0
f231,0
f232,0
f233,0
f234,0
f235,0
f236,0
f237,0
f238,0
f239,0
f240,0
f241,0
f242,0
f243,0
f244,0
f245,0
f246,0
f247,0
f248,0
f249,0
f250,0
f251,0
f252,0
f253,0
f254,0
f255,0
f256,0
f257,0
f258,0
f259,0
f260,0
f261,0
f262,0
f263,0
f264,0
f265,0
f266,0
f267,0
f268,0
f269,0
f270,0
f271,0
f272,0
f273,0
f274,0
f275,0
f276,0
f277,0
f278,0
f279,0
f280,0
f281,0
f282,0
f283,0
f284,0
f285,0
f286,0
f287,0
f288,0
f289,0
f290,0
f291,0
f292,0
f293,0
f294,0
f295,0
f296,0
f297,0
f298,0
f299,0
f300,0
f301,0
f302,0
f303,0
f304,0
f305,0
f306,0
f307,0
f308,0
f309,0
f310,0
f311,0
f312,0
f313,0
f314,0
f315,0
f316,0
f317,0
f318,0
f319,0
f320,0
f321,0
f322,0
f323,0
f324,0
f325,0
f326,0
f327,0
f328,0
f329,0
f330,0
f331,0
f332,0
f333,0
f334,0
f335,0
f336,0
f337,0
f338,0
f339,0
f340,0
f341,0
f342,0
f343,0
f344,0
f345,0
f346,0
f347,0
f348,0
f349,0
f350,0
f351,0
f352,0
f353,0
f354,0
f355,0
f356,0
f357,0
f358,0
f359,0
f360,0
f361,0
f362,0
f363,0
f364,0
f365,0
f366,0
f367,0
f368,0
f369,0
f370,0
f371,0
f372,0
f373,0
f374,0
f375,0
f376,0
f377,0
f378,0
f379,0
f380,0
f381,0
f382,0
f383,0
f384,0
f385,0
f386,0
f387,0
f388,0
f389,0
f390,0
f391,0
f392,0
f393,0
f394,0
f395,0
f396,0
f397,0
f398,0
f399,0
f400,0
f401,0
f402,0
f403,0
f404,0
f405,0
f406,0
f407,0
f408,0
f409,0
f410,0
f411,0
f412,0
f413,0
f414,0
f415,0
f416,0
f417,0
f418,0
f419,0
f420,0
f421,0
f422,0
f423,0
f424,0
f425,0
f426,0
f427,0
f428,0
f429,0
f430,0
f431,0
f432,0
f433,0
f434,0
f435,0
f436,0
f437,0
f438,0
f439,0
f440,0
f441,0
f442,0
f443,0
f444,0
f445,0
f446,0
f447,0
f448,0
f449,0
f450,0
f451,0
f452,0
f453,0
f454,0
f455,0
f456,0
f457,0
f458,0
f459,0
f460,0
f461,0
f462,0
f463,0
f464,0
f465,0
f466,0
f467,0
f468,0
f469,0
f470,0
f471,0
f472,0
f473,0
f474,0
f475,0
f476,0
f477,0
f478,0
f479,0
f480,0
f481,0
f482,0
f483,0
